85;"Una ciudad abandonada, llena de rascacielos en ruinas. La vegetación ha reclamado el cemento, y en cada esquina acechan peligrosos depredadores. Los escombros dificultan el paso, y la visibilidad es limitada debido a la niebla y la contaminación ambiental. El sonido de animales salvajes y estructuras colapsando resuena en el ambiente.";7;6
60;"Un bosque denso y oscuro, donde la luz del sol apenas penetra. El suelo está cubierto de hojas caídas y el aire es húmedo y frío. El lugar está lleno de criaturas mutantes y trampas naturales. Es fácil perderse en este laberinto verde, donde cada paso debe ser calculado.";5;4
95;"Un desierto radiactivo, con dunas interminables de arena y restos oxidados de maquinaria bélica. Las tormentas de arena son frecuentes y violentas, reduciendo la visibilidad a casi cero. La radiación es una amenaza constante, y el calor abrasador es implacable. Solo los más preparados pueden sobrevivir aquí.";3;2
40;"Un pueblo costero devastado por un tsunami. Las casas están en ruinas y el terreno es pantanoso. El agua salada ha corroído todo a su paso, pero aún se pueden encontrar algunos recursos útiles entre los escombros. Las criaturas marinas mutadas son un peligro constante en este lugar.";8;5
75;"Un complejo industrial abandonado, lleno de maquinaria oxidada y pasillos oscuros. Los altos hornos y las cintas transportadoras están inoperativas, pero el lugar está lleno de gas tóxico. Los restos de materiales peligrosos y la posibilidad de encuentros con criaturas agresivas hacen de este lugar un desafío para cualquiera que se atreva a explorarlo.";6;7
55;"Una zona montañosa con cumbres nevadas y valles profundos. Las tormentas de nieve son comunes y los senderos están cubiertos de hielo resbaladizo. Los refugios son escasos, pero hay cuevas que pueden proporcionar refugio temporal. Los animales salvajes y la amenaza de avalanchas son peligros constantes.";4;6
90;"Un antiguo búnker militar subterráneo, con sistemas de seguridad aún activos y trampas letales. El lugar es oscuro y laberíntico, lleno de puertas selladas y pasillos estrechos. Los recursos son escasos, y la amenaza de colapso es real. Además, la presencia de robots de seguridad activos hace que la exploración sea extremadamente peligrosa.";2;8
30;"Una granja abandonada en medio de una llanura desolada. Los campos están secos y las estructuras en ruinas, pero aún se pueden encontrar algunas herramientas y suministros en buen estado. El lugar es relativamente seguro, pero las condiciones climáticas adversas y la falta de recursos naturales pueden dificultar la supervivencia a largo plazo.";9;5
65;"Un bosque radioactivo, donde la fauna y la flora han mutado debido a la radiación. Los árboles brillan con una luz extraña y los animales son agresivos y peligrosos. El aire es tóxico, y los exploradores deben usar equipo especial para sobrevivir. A pesar de todo, hay rumores de recursos valiosos escondidos en este lugar.";5;7
50;"Una ciudadela amurallada en ruinas, rodeada de un paisaje árido. Las murallas están parcialmente colapsadas y las calles desiertas están llenas de escombros. Sin embargo, hay rumores de que algunos habitantes aún viven escondidos aquí, ofreciendo comercio de suministros en condiciones peligrosas. El lugar es una mezcla de peligros y oportunidades.";6;6
